# Created by f3dm-l4s 0.1.0 using f3dmlib 1.8.24.3
# Force has been calculated on a mesh of 42184 nodes (28465 elements)
# using quadratic tetrahedral elements.
#
# Grid data:
# Center of the pox: 0.75 0.25 3 
# Box size: 1.500000 0.500000 2.000000 
# Number of points: 100 1 100 
#
# x  y  z  Fx  Fy  Fz
 1.515151515151515e-02      2.500000000000000e-01     2.666666666666671e+00      4.118406263504681e-04     -1.888702882457682e-05     4.961440425883420e-01
 1.515151515151515e-02      2.500000000000000e-01     2.686868686868691e+00      3.577175886072814e-04     -1.950605356237922e-06     4.956209118851639e-01
 1.515151515151515e-02      2.500000000000000e-01     2.707070707070712e+00      3.328862589793147e-04      5.526103220410139e-06     4.952054803845006e-01
 1.515151515151515e-02      2.500000000000000e-01     2.727272727272732e+00      3.044521618595364e-04     -5.510361584082357e-06     4.948191984182826e-01
 1.515151515151515e-02      2.500000000000000e-01     2.747474747474752e+00      2.760180647396471e-04     -1.654682638857485e-05     4.944329164520648e-01
 1.515151515151515e-02      2.500000000000000e-01     2.767676767676773e+00      2.482731257386073e-04     -2.939917985036317e-05     4.940465572580117e-01
 1.515151515151515e-02      2.500000000000000e-01     2.787878787878793e+00      2.337772147657929e-04     -1.615402317795001e-05     4.937206028953804e-01
 1.515151515151515e-02      2.500000000000000e-01     2.808080808080813e+00      2.226901391312319e-04      6.124818654251740e-06     4.934257242733059e-01
 1.515151515151515e-02      2.500000000000000e-01     2.828282828282834e+00      2.059948328013705e-04     -7.390038006538369e-07     4.931670827451989e-01
 1.515151515151515e-02      2.500000000000000e-01     2.848484848484854e+00      1.886357398506733e-04     -8.781392783263620e-06     4.929074383834131e-01
 1.515151515151515e-02      2.500000000000000e-01     2.868686868686874e+00      1.653562446017887e-04     -7.792966227215814e-06     4.926453776933778e-01
 1.515151515151515e-02      2.500000000000000e-01     2.888888888888895e+00      1.782594018438291e-04     -1.511443257851131e-05     4.924269076251879e-01
 1.515151515151515e-02      2.500000000000000e-01     2.909090909090915e+00      1.578565448188823e-04     -5.779548530093770e-06     4.922505294589094e-01
 1.515151515151515e-02      2.500000000000000e-01     2.929292929292935e+00      1.374536877966626e-04      3.555335513660829e-06     4.920741512926272e-01
 1.515151515151515e-02      2.500000000000000e-01     2.949494949494956e+00      1.170508307745469e-04      1.289021955730441e-05     4.918977731263450e-01
 1.515151515151515e-02      2.500000000000000e-01     2.969696969696976e+00      9.664797375243117e-05      2.222510360105900e-05     4.917213949600628e-01
 1.515151515151515e-02      2.500000000000000e-01     2.989898989898996e+00      1.015666301266011e-04     -1.090135771511513e-05     4.916101583995190e-01
 1.515151515151515e-02      2.500000000000000e-01     3.010101010101017e+00      1.165791306843300e-04      1.500974283269452e-05     4.914498165266104e-01
 1.515151515151515e-02      2.500000000000000e-01     3.030303030303037e+00      9.548975631290535e-05      8.981708487398876e-06     4.913427488745511e-01
 1.515151515151515e-02      2.500000000000000e-01     3.050505050505057e+00      8.203874303880365e-05      1.446401656859941e-05     4.912330623016770e-01
 1.515151515151515e-02      2.500000000000000e-01     3.070707070707078e+00      6.858772976148231e-05      1.994632464766277e-05     4.911233757288015e-01
 1.515151515151515e-02      2.500000000000000e-01     3.090909090909098e+00      5.513671648738061e-05      2.542863272889107e-05     4.910136891559274e-01
 1.515151515151515e-02      2.500000000000000e-01     3.111111111111118e+00      7.507516158922201e-05      1.742984996920549e-05     4.909550584883614e-01
 1.515151515151515e-02      2.500000000000000e-01     3.131313131313139e+00      6.972477522324883e-05      2.666274199236707e-05     4.908487085834266e-01
 1.515151515151515e-02      2.500000000000000e-01     3.151515151515159e+00      6.490348852050687e-05      2.862248554036384e-05     4.907645382054784e-01
 1.515151515151515e-02      2.500000000000000e-01     3.171717171717179e+00      5.801674923405775e-05      3.613681412173442e-05     4.906991884224438e-01
 1.515151515151515e-02      2.500000000000000e-01     3.191919191919200e+00      5.113000995310424e-05      4.365114270366011e-05     4.906338386394111e-01
 1.515151515151515e-02      2.500000000000000e-01     3.212121212121220e+00      4.424327066726574e-05      5.116547128403148e-05     4.905684888563782e-01
 1.515151515151515e-02      2.500000000000000e-01     3.232323232323240e+00      3.735653138148276e-05      5.867979986434735e-05     4.905031390733453e-01
 1.515151515151515e-02      2.500000000000000e-01     3.252525252525261e+00      4.666438691287855e-05      7.144038881090609e-05     4.904679165718274e-01
 1.515151515151515e-02      2.500000000000000e-01     3.272727272727281e+00      4.572939972147250e-05      7.346633086849352e-05     4.903972842302738e-01
 1.515151515151515e-02      2.500000000000000e-01     3.292929292929301e+00      4.227311450899496e-05      8.670662128529294e-05     4.903516570227632e-01
 1.515151515151515e-02      2.500000000000000e-01     3.313131313131322e+00      3.881682930079178e-05      9.994691170372993e-05     4.903060298152564e-01
 1.515151515151515e-02      2.500000000000000e-01     3.333333333333342e+00      3.357165855938371e-05      1.086643549353394e-04     4.902598142553505e-01
 1.515151515151515e-02      2.500000000000000e-01     3.353535353535362e+00      2.961511356111557e-05      1.203891695170101e-04     4.902139346774108e-01
 1.515151515151515e-02      2.500000000000000e-01     3.373737373737383e+00      3.025618378563188e-05      1.274878262668422e-04     4.901722400581492e-01
 1.515151515151515e-02      2.500000000000000e-01     3.393939393939403e+00      2.080806621501674e-05      1.490842860965846e-04     4.901509541109094e-01
 1.515151515151515e-02      2.500000000000000e-01     3.414141414141423e+00      2.319720634164080e-05      1.811377541758863e-04     4.901106186542197e-01
 1.515151515151515e-02      2.500000000000000e-01     3.434343434343444e+00      2.529932641748278e-05      2.115498013025574e-04     4.900704918858935e-01
 1.515151515151515e-02      2.500000000000000e-01     3.454545454545464e+00      2.740144649576726e-05      2.419618484300612e-04     4.900303651175664e-01
 1.515151515151515e-02      2.500000000000000e-01     3.474747474747484e+00      2.950356657505093e-05      2.723738955559551e-04     4.899902383492387e-01
 1.515151515151515e-02      2.500000000000000e-01     3.494949494949505e+00      3.160568665439012e-05      3.027859426819046e-04     4.899501115809111e-01
 1.515151515151515e-02      2.500000000000000e-01     3.515151515151525e+00      3.370780673073170e-05      3.331979898092974e-04     4.899099848125839e-01
 1.515151515151515e-02      2.500000000000000e-01     3.535353535353545e+00      3.966312142411610e-05      3.802557729030293e-04     4.899089318784655e-01
 1.515151515151515e-02      2.500000000000000e-01     3.555555555555566e+00      4.170369859618495e-05      4.227086242811068e-04     4.899074678089216e-01
 1.515151515151515e-02      2.500000000000000e-01     3.575757575757586e+00      9.870821869734092e-06      4.811565950654968e-04     4.898641888649960e-01
